"2017-06-06T10:34:19";"1";"25";"100";"170";"321";"3.0";"1.0";"0"
"2017-06-06T10:34:19";"1";"26";"200";"170";"392";"64.0";"3.0";"0"
"2017-06-06T10:34:21";"1";"27";"150";"50";"1192";"-6.0";"3.0";"0"
"2017-06-06T10:34:22";"1";"28";"200";"20";"632";"11.0";"-1.0";"0"
"2017-06-06T10:34:22";"1";"29";"250";"170";"469";"87.0";"-5.0";"0"
"2017-06-06T10:34:23";"1";"30";"150";"20";"695";"3.0";"-4.0";"0"
"2017-06-06T10:34:24";"1";"31";"100";"20";"663";"-7.0";"3.0";"0"
"2017-06-06T10:34:24";"1";"32";"150";"170";"367";"75.0";"-3.0";"0"
"2017-06-06T10:34:25";"1";"33";"250";"170";"383";"33.0";"-4.0";"0"
"2017-06-06T10:34:25";"1";"34";"100";"20";"531";"-9.0";"7.0";"0"
"2017-06-06T10:34:26";"1";"35";"100";"170";"272";"53.0";"5.0";"0"
"2017-06-06T10:34:26";"1";"36";"100";"200";"211";"51.0";"-9.0";"0"
"2017-06-06T10:34:26";"1";"37";"100";"200";"227";"44.0";"-8.0";"0"
"2017-06-06T10:34:27";"1";"38";"250";"200";"415";"83.0";"-6.0";"0"
"2017-06-06T10:34:27";"1";"39";"250";"170";"421";"123.0";"0.0";"0"
"2017-06-06T10:34:28";"1";"40";"150";"170";"359";"10.0";"3.0";"0"
"2017-06-06T10:34:28";"1";"41";"100";"50";"647";"-10.0";"9.0";"1"
"2017-06-06T10:34:29";"1";"42";"250";"50";"475";"21.0";"-5.0";"0"
"2017-06-06T10:34:29";"1";"43";"200";"200";"407";"84.0";"-11.0";"0"
"2017-06-06T10:34:31";"1";"44";"200";"50";"1100";"10.0";"9.0";"0"
"2017-06-06T10:34:31";"1";"45";"150";"200";"258";"81.0";"1.0";"0"
"2017-06-06T10:34:32";"1";"46";"200";"170";"446";"65.0";"-5.0";"0"
"2017-06-06T10:34:32";"1";"47";"250";"20";"797";"-4.0";"-11.0";"0"
"2017-06-06T10:34:33";"1";"48";"250";"20";"774";"18.0";"0.0";"0"
"2017-06-06T10:34:34";"1";"49";"150";"200";"383";"82.0";"-2.0";"0"
"2017-06-06T10:34:35";"1";"50";"200";"20";"631";"-10.0";"4.0";"0"
"2017-06-06T10:34:35";"1";"51";"250";"50";"725";"6.0";"2.0";"0"
"2017-06-06T10:34:36";"1";"52";"150";"20";"639";"-10.0";"0.0";"0"
"2017-06-06T10:34:37";"1";"53";"200";"200";"329";"116.0";"6.0";"0"
"2017-06-06T10:34:37";"1";"54";"150";"20";"469";"-8.0";"11.0";"0"
"2017-06-06T10:34:38";"1";"55";"250";"50";"515";"-16.0";"-19.0";"0"
"2017-06-06T10:34:38";"1";"56";"100";"200";"453";"-21.0";"-4.0";"0"
"2017-06-06T10:34:39";"1";"57";"200";"200";"967";"67.0";"62.0";"0"
"2017-06-06T10:34:40";"1";"58";"150";"20";"641";"1.0";"3.0";"0"
"2017-06-06T10:34:41";"1";"59";"100";"50";"203";"49.0";"1.0";"0"
"2017-06-06T10:34:41";"1";"60";"200";"200";"397";"69.0";"-11.0";"0"
"2017-06-06T10:34:41";"1";"61";"100";"20";"219";"10.0";"4.0";"0"
"2017-06-06T10:34:42";"1";"62";"200";"20";"625";"-5.0";"0.0";"0"
"2017-06-06T10:34:43";"1";"63";"100";"170";"359";"4.0";"-9.0";"0"
"timestamp (ISO)";"user_id";"trial";"target_distance";"target_size";"movement_time (ms)";"click_offset_x";"click_offset_y";"number_of_errors"
"2017-06-06T10:41:40";"1";"0";"200";"200";"741";"74.0";"24.0";"0"
"2017-06-06T10:41:41";"1";"1";"250";"200";"499";"95.0";"-18.0";"0"
"2017-06-06T10:41:41";"1";"2";"200";"50";"616";"21.0";"1.0";"0"
"2017-06-06T10:41:42";"1";"3";"150";"20";"756";"2.0";"-6.0";"0"
"2017-06-06T10:41:43";"1";"4";"250";"200";"476";"118.0";"6.0";"0"
"2017-06-06T10:41:43";"1";"5";"100";"50";"390";"22.0";"2.0";"0"
"2017-06-06T10:41:44";"1";"6";"250";"50";"638";"32.0";"6.0";"0"
"2017-06-06T10:41:45";"1";"7";"100";"170";"257";"14.0";"-13.0";"0"
"2017-06-06T10:41:45";"1";"8";"100";"170";"327";"1.0";"0.0";"0"
"2017-06-06T10:41:46";"1";"9";"100";"20";"608";"-11.0";"1.0";"1"
"2017-06-06T10:41:47";"1";"10";"150";"20";"1266";"-6.0";"-1.0";"2"
"2017-06-06T10:41:48";"1";"11";"250";"170";"244";"89.0";"1.0";"0"
"2017-06-06T10:41:49";"1";"12";"100";"20";"1176";"-2.0";"-4.0";"0"
"2017-06-06T10:41:50";"1";"13";"250";"50";"616";"-3.0";"-10.0";"0"
"2017-06-06T10:41:50";"1";"14";"250";"170";"453";"109.0";"12.0";"0"
"2017-06-06T10:41:51";"1";"15";"150";"20";"524";"-9.0";"0.0";"0"
"2017-06-06T10:41:52";"1";"16";"200";"50";"593";"23.0";"-2.0";"0"
"2017-06-06T10:41:52";"1";"17";"150";"20";"546";"-3.0";"4.0";"0"
"2017-06-06T10:41:53";"1";"18";"250";"200";"748";"52.0";"6.0";"0"
"2017-06-06T10:41:54";"1";"19";"100";"170";"352";"41.0";"3.0";"0"
"2017-06-06T10:41:54";"1";"20";"250";"20";"788";"-1.0";"1.0";"0"
"2017-06-06T10:41:55";"1";"21";"200";"20";"692";"-5.0";"2.0";"0"
"2017-06-06T10:41:56";"1";"22";"100";"200";"125";"76.0";"-1.0";"0"
"2017-06-06T10:41:56";"1";"23";"150";"50";"468";"17.0";"1.0";"0"
"2017-06-06T10:41:57";"1";"24";"250";"50";"560";"15.0";"9.0";"0"
"2017-06-06T10:41:58";"1";"25";"100";"20";"492";"4.0";"-16.0";"0"
"2017-06-06T10:41:58";"1";"26";"150";"50";"383";"25.0";"6.0";"0"
"2017-06-06T10:41:59";"1";"27";"250";"20";"702";"16.0";"-1.0";"0"
"2017-06-06T10:41:59";"1";"28";"100";"170";"281";"55.0";"5.0";"0"
"2017-06-06T10:42:00";"1";"29";"200";"200";"398";"88.0";"-3.0";"0"
"2017-06-06T10:42:00";"1";"30";"200";"50";"498";"16.0";"-2.0";"0"
"2017-06-06T10:42:01";"1";"31";"150";"200";"710";"29.0";"17.0";"0"
"2017-06-06T10:42:02";"1";"32";"200";"200";"275";"-75.0";"-9.0";"0"
"2017-06-06T10:42:02";"1";"33";"200";"170";"420";"70.0";"-5.0";"0"
"2017-06-06T10:42:02";"1";"34";"250";"170";"366";"55.0";"-6.0";"0"
"2017-06-06T10:42:03";"1";"35";"250";"200";"444";"59.0";"-11.0";"0"
"2017-06-06T10:42:03";"1";"36";"150";"170";"422";"41.0";"-22.0";"0"
"2017-06-06T10:42:04";"1";"37";"200";"20";"609";"-13.0";"5.0";"0"
"2017-06-06T10:42:05";"1";"38";"100";"50";"765";"-41.0";"5.0";"0"
"2017-06-06T10:42:06";"1";"39";"200";"20";"601";"1.0";"-3.0";"0"
"2017-06-06T10:42:06";"1";"40";"200";"200";"422";"67.0";"-9.0";"0"
"2017-06-06T10:42:07";"1";"41";"100";"50";"304";"14.0";"-8.0";"0"
"2017-06-06T10:42:07";"1";"42";"150";"200";"240";"4.0";"-14.0";"0"
"2017-06-06T10:42:09";"1";"43";"250";"20";"1536";"-11.0";"-6.0";"2"
"2017-06-06T10:42:10";"1";"44";"250";"50";"577";"23.0";"5.0";"0"
"timestamp (ISO)";"user_id";"trial";"target_distance";"target_size";"movement_time (ms)";"click_offset_x";"click_offset_y";"number_of_errors"
"2017-06-06T10:43:53";"1";"0";"250";"170";"383";"49.0";"30.0";"0"
"2017-06-06T10:43:53";"1";"1";"250";"200";"164";"132.0";"-6.0";"0"
"2017-06-06T10:43:54";"1";"2";"250";"50";"749";"21.0";"-11.0";"0"
"2017-06-06T10:43:54";"1";"3";"200";"200";"226";"168.0";"8.0";"0"
"2017-06-06T10:43:55";"1";"4";"150";"20";"735";"-2.0";"-1.0";"0"
"timestamp (ISO)";"user_id";"trial";"target_distance";"target_size";"movement_time (ms)";"click_offset_x";"click_offset_y";"number_of_errors"
"2017-06-06T10:44:12";"1";"0";"100";"170";"3431";"61.0";"42.0";"0"
"2017-06-06T10:44:12";"1";"1";"150";"170";"227";"31.0";"-5.0";"0"
"2017-06-06T10:44:13";"1";"2";"150";"50";"444";"23.0";"8.0";"0"
